17, 23, 19, 24, 30, 22
19, 14, 8, 27, 3, 29
14, 11, 20, 6, 16, 24
18, 19, 4, 25, 16, 10
10, 17, 20, 1, 13, 29
28, 11, 18, 22, 26, 29
20, 25, 12, 23, 8, 28
18, 24, 7, 8, 21, 13
2, 27, 6, 23, 1, 18
31, 21, 27, 22, 4, 20
11, 27, 15, 7, 17, 25
26, 31, 24, 25, 3, 1
11, 19, 21, 9, 12, 1
19, 13, 31, 28, 6, 15
27, 16, 26, 30, 12, 13
2, 24, 12, 4, 29, 15
13, 25, 2, 9, 14, 22
30, 6, 25, 29, 21, 5
21, 15, 10, 26, 23, 14
3, 4, 11, 23, 13, 5
6, 17, 9, 8, 26, 4
16, 5, 8, 15, 22, 1
8, 10, 11, 31, 2, 30
17, 5, 31, 14, 18, 12
9, 24, 28, 27, 10, 5
